distance_to_subject,prop_type,stories,address,city_province,sale_date,sale_price,dom,location_similarity,lot_size,age,condition,gla,room_count,bed_count,bath_count,basement_finish,parking,neighborhood,orderID
0.31 KM,Detached,2 Storey,3 Timberline Gate SW,Calgary AB T3H 0W3,Mar/31/2025,"1,785,000",17 +/-,Inferior,947 SqM,2014,Inferior,3436.47 SqFt,10,3,2F 1H,Full Finished/Walkout,Trpl. Att. Gar.,,4776534
2.17 KM,Detached,2 Storey,75 Aspen Summit Crt SW,Calgary AB T3H 0Z3,Apr/08/2025,"1,700,000",35 +/-,Inferior,754 SqM,2015,Inferior,3236. 60 SqFt,9,3,3F 1H,Full Finished/Walkout,Trpl. Att. Gar.,,4776534
1.64 KM,Detached,2 Storey,2224 Brightoncrest Green SE,Calgary AB T2Z 5A3,Apr/17/2025,"819,900",43,Similar,3799 SqFt,11,Superior,2389 SqFt,9,3,3:1,Full/Finished,Dbl. Att. Gar.,,4776574
0.13 KM,Detached,2 Storey,3 Copperleaf Pk SE,Calgary AB T2Z 0C1,Feb/14/2025,"880,868",22,Superior,5360 SqFt,18,Superior,2344 SqFt,9,3,3:1,Full/Fin/Walkout,Dbl. Att. Gar.,,4776574
1.16 KM,Detached,2 Storey,579 Copperpond Cir SE,Calgary AB T2Z 0X2,Mar/13/2025,"715,000",20,Similar,3961 SqFt,15,Similar,2097 SqFt,6,3,3:1,Full/Finished,Dbl. Att. Gar.,,4776574
0.70 KM,,2 Storey,77 Taylor Dr,Grand Valley ON L9W 6P4,Apr/28/2025,"1,028,888",,,45.28 X 118.47,4,Good,2341 sqFt,8,3,2F1H,Full/Finished,2 Garage,89 / X11946599,4777828
0.55 KM,,2 Storey,14 Grundy Cres,Grand Valley ON L9W 7S7,Feb/07/2025,"1,070,000",,,41.99 X 111.55,2,Good,2432 sqFt,8,4,2F1H,Full/Unfinished,2 Garage,32 / X11907987,4777828
0.54 KM,,2 Storey,13 Grundy Cres,Grand Valley ON L9W 7S7,Mar/21/2025,"870,000",,,47.04 X 111.73,2,Good,1916 sqft,6,3,2F1H,Full/Unfinished,2 Garage,31 / X11978160,4777828
0.21 KM,Fourplex,Bi-Level,1521 27 Ave SW,Calgary AB T2T 1G5,Apr/12/2025,"1,350,000",17,Similar,580 SqM,1973,Superior,186 SqM,12,8,4F 2H,Full/Finished,Rear parking,,4778535
0.22 KM,Fourplex,Bi-Level,1527 28 Ave SW,Calgary AB T2T 1J3,Nov/08/2024,"1,190,000",107,Similar,580 SqM,1951,Inferior,195 SqM,11,7,4F,Full/Finished,Rear parking,,4778535
3.01 KM,Fourplex,Bi-Level,4724 Stanley Rd SW,Calgary AB T2S 2R2,Dec/06/2024,"1,232,000",57,Similar,696 SqM,1955,Similar,150 SqM,12,8,4F,Full/Finished,Dbl. Det. Gar.,,4778535
0.13 KM,Detached,Bungalow,3617 Douglas Woods Hts SE,Calgary AB T2Z 2G4,Apr/16/2025,"615,000",15,Superior,4596 SqFt,33,Inferior,1286 SqFt,5,2,3:0,Full/Finished,Dbl. Att. Gar.,,4778557
0.79 KM,Detached,Bi-Level,56 Douglasview Rise SE,Calgary AB T2Z 2P4,Jan/24/2025,"669,000",66,Superior,4929 SqFt,30,Inferior,1514 SqFt,6,2,3:0,Full/Finished,Dbl. Att. Gar.,,4778557
2.50 KM,Detached,Bungalow,739 Queensland Dr SE,Calgary AB T2J 4S8,Dec/28/2024,"600,000",16,Inferior,5823 SqFt,49,Similar,1401 SqFt,6,3,2:1,Full/Finished,Sgl. Att. Gar.,,4778557
2.81 KM,Detached,2 Storey,7 Peach Blossom Cres,Kitchener ON N2E 3Z6,Apr/11/2025,"825,000",15 +/-,Similar,3054 SQFT,22 +/-,Average,1617 SqFt,8,4,2F1P,Full/Finished,Dbl. Att. Gar.,,4779669
2.87 KM,Detached,2 Storey,61 Bush Clover Cres,Kitchener ON N2E 3P8,Feb/21/2025,"840,000",16 +/-,Similar,3150 SQFT,22 +/-,Average,1625 SqFt,6,3,2F1P,Full/Finished,Dbl. Att. Gar.,,4779669
0.01 KM,Detached,2 Storey,85 Eastforest Trail,Kitchener ON N2N 3M3,Jan/02/2025,"660,000",15 +/-,Similar,3653 SQFT,26 +/-,Inferior,1453 SqFt,6,3,1F1P,Full/Unfinished,Dbl. Att. Gar.,,4779669
0.20 KM,Condominium,1 Storey,701-121 Queen St,Kingston ON K7K 0G6,Mar/05/2025,"635,000",2,Inferior,Condo Common,8+/-,Good,825 sf,7,2,1:0,n/a,1 Space,,4778791
1.37 KM,Condominium,1 Storey,920-652 Princess St,Kingston ON K7L 1E5,Feb/28/2025,"405,000",21,Inferior,Condo Common,4,Inferior,609 sf,8,2,2:0,n/a,1 Space,,4778791
1.09 KM,Condominium,1 Storey,403-501 Frontenac St,Kingston ON K7K 4L9,Nov/23/2024,"475,000",59,Inferior,Condo Common,5,Inferior,818 sf,5,2,2:0,n/a,1 Space,,4778791
0.20 KM,Condominium,1 Storey,701-121 Queen St,Kingston ON K7K 0G6,Mar/05/2025,"635,000",2,Similar,Condo Common,8+/-,Good,825 sf,7,2,1:0,n/a,1 Space,,4778794
1.37 KM,Condominium,1 Storey,920-652 Princess St,Kingston ON K7L 1E5,Feb/28/2025,"405,000",21,Inferior,Condo Common,4,Inferior,609 sf,8,2,2:0,n/a,1 Space,,4778794
1.09 KM,Condominium,1 Storey,403-501 Frontenac St,Kingston ON K7K 4L9,Nov/23/2024,"475,000",59,Inferior,Condo Common,5,Inferior,818 sf,5,2,2:0,n/a,1 Space,,4778794
0.20 KM,Condominium,1 Storey,701-121 Queen St,Kingston ON K7K 0G6,Mar/05/2025,"635,000",2,Similar,Condo Common,8+/-,Good,825 sf,7,2,1:0,n/a,1 Space,,4778797
1.37 KM,Condominium,1 Storey,920-652 Princess St,Kingston ON K7L 1E5,Feb/28/2025,"405,000",21,Inferior,Condo Common,4,Inferior,609 sf,8,2,2:0,n/a,1 Space,,4778797
1.09 KM,Condominium,1 Storey,403-501 Frontenac St,Kingston ON K7K 4L9,Nov/23/2024,"475,000",59,Inferior,Condo Common,5,Inferior,818 sf,5,2,2:0,n/a,1 Space,,4778797
0.47 KM,Detached,2 Storey,123 Sandringham Pl NW,Calgary AB T3K 3V8,Apr/11/2025,"760,000",28 +/-,Superior,632 SqM,1990,Similar,1788 SqFt,8,3,2F 1H,Developed/1F,Dbl. Att. Gar.,,4778326
0.08 KM,Detached,2 Storey,164 Sandpiper Cir NW,Calgary AB T3K 3M5,Mar/08/2025,"722,500",8 +/-,Superior,372 SqM,1987,Similar,1682.55 SqFt,7,3,2F 1H,Full/Finished,Dbl. Att. Gar.,,4778326
1.41 KM,Detached,4 Level Split,108 Macewan Park Green NW,Calgary AB T3K 4E5,Apr/10/2025,"888,000",16 +/-,Superior,574 SqM,1992,Good,2100 SqFt,8,3,2F 1H,Developed/1F,Dbl. Att. Gar.,,4778326
0.03 KM,Detached,Bungalow,168 Marquis Pl SE,Airdrie AB T4A 1Y6,Apr/02/2025,"530,000",34 +/-,Similar,713 SqM,1979,Average,1377.90 SqFt,7,3,2F,Developed/1F,Dbl. Det. Gar.,,4758996
0.54 KM,Detached,Bi-Level,1852 Meadowbrook Dr SE,Airdrie AB T4A 1V2,Mar/28/2025,"518,000",20 +/-,Superior,456 SqM,1983,Average,1071.86 SqFt,5,3,2F,Part Devel. /1F,Dbl. Det. Gar.,,4758996
0.01 KM,Detached,4 Level Split,156 Marquis Pl SE,Airdrie AB T4A 1Y7,Feb/25/2025,"565,000",12 +/-,Similar,518 SqM,1979,Superior,1085.91 SqFt,6,3,2F,Devel. WO/1F,Dbl. Det. Gar.,,4758996
4.67 KM,Detached,2 Storey,1977 Thorpe Road,Loyalist,Jan/03/2025,"830,000",32,Similar,1250' x Irreg / 30 Acres,4,Superior,"1,844 sf",10,3+1,2:0,No Basement,No Garage,,4775785
16.86 KM,Detached,2 Storey,116 Dowdle Rd,Newburgh ON K0K 2S0,Apr/04/2025,"890,000",43,Similar,634.5' x 787' / 11.5 Acres,112,Superior,"3,790 sf",14,5,2:1,Cellar,Single Attached,,4775785
5.81 KM,Detached,2 Storey,3858 County Rd 1 E,Yarker ON K0K 3N0,Apr/04/2025,"616,000",52,Similar,400' x 650' / 5.9 Acres,141,Inferior,"2,523 sf",11,3,1:1,Crawl Space,Single Detached,,4775785
16.85 KM,Detached,Bungalow,8 Hilltop Cres,East Garafraxa ON L9W 6B8,Apr/02/2025,"1,375,000",20 +/-,Similar,2.17 Acres,50 +/-,Superior,1240 SqFt,6,1,2F,Full/Finished,Dbl. Att. Gar.,,4775292
11.17 KM,Detached,Bungalow,5739 Sixth Line,Hillsburgh ON N0B 1Z0,Feb/09/2025,"1,490,000",32 +/-,Similar,2 Acres,35 +/-,Average,1634 SqFt,7,3,2F,Full/Finished,1.5 car attached garage,,4775292
12.14 KM,Detached,Bungalow,7167 Seventh Line,Belwood ON N0B 1J0,Nov/20/2024,"1,150,000",15 +/-,Similar,10 Acres,31 +/-,Average,1610 SqFt,6,3,1F,None,No garage,,4775292
2.94 KM,Detached,1.5 Storey,2738 Isle of Man Rd,Kingston ON K7L 4V3,Nov/20/2024,"435,000",168,Superior,267' x Irreg / 0.87 Acres,105+/-,Superior,814 SqFt,9,2,1:1,Crawl Space,Sgl. Att. Gar.,,4723364
9.98 KM,Detached,Bungalow,2480 Hitchcock Rd,Joyceville ON K0H 1Y0,Nov/18/2024,"349,000",18,Inferior,353' x 1260' / 10.1 Acres,60+/-,Inferior,"1,350 SqFt",7,3,1:0,Cellar,No Garage,,4723364
6.44 KM,Detached,2 Storey,1996 McFarlane Rd,Kingston ON K7L 4V3,Oct/04/2024,"400,000",98,Similar,241' x Irreg / 1 Acre,125+/-,Average,984 SqFt,12,2+1,1:0,Cellar,Trpl. Det. Gar.,,4723364
